,index,celltype,inter
0,Astro,CC1,152
1,CC1,CC1,128
2,CC2,CC1,263
3,CC3,CC1,285
4,Endo,CC1,169
5,L2/3 IT,CC1,344
6,L4,CC1,397
7,L5 PT,CC1,240
8,L6 CT,CC1,271
9,L6 IT,CC1,280
10,L6b,CC1,196
11,Lamp5,CC1,261
12,NP,CC1,288
13,Pvalb,CC1,274
14,Sncg,CC1,271
15,Sst,CC1,284
16,Vip,CC1,353
17,Astro,CC1,154
18,CC1,CC1,121
19,CC2,CC1,265
20,CC3,CC1,277
21,Endo,CC1,167
22,L2/3 IT,CC1,348
23,L4,CC1,403
24,L5 PT,CC1,244
25,L6 CT,CC1,280
26,L6 IT,CC1,291
27,L6b,CC1,205
28,Lamp5,CC1,260
29,NP,CC1,296
30,Pvalb,CC1,270
31,Sncg,CC1,267
32,Sst,CC1,283
33,Vip,CC1,356
34,Astro,CC1,152
35,CC1,CC1,118
36,CC2,CC1,278
37,CC3,CC1,285
38,Endo,CC1,167
39,L2/3 IT,CC1,342
40,L4,CC1,401
41,L5 PT,CC1,238
42,L6 CT,CC1,275
43,L6 IT,CC1,290
44,L6b,CC1,199
45,Lamp5,CC1,260
46,NP,CC1,298
47,Pvalb,CC1,264
48,Sncg,CC1,268
49,Sst,CC1,285
50,Vip,CC1,356
51,Astro,CC1,152
52,CC1,CC1,125
53,CC2,CC1,279
54,CC3,CC1,288
55,Endo,CC1,168
56,L2/3 IT,CC1,340
57,L4,CC1,403
58,L5 PT,CC1,246
59,L6 CT,CC1,269
60,L6 IT,CC1,289
61,L6b,CC1,200
62,Lamp5,CC1,261
63,NP,CC1,293
64,Pvalb,CC1,267
65,Sncg,CC1,265
66,Sst,CC1,281
67,Vip,CC1,349
68,Astro,CC1,153
69,CC1,CC1,123
70,CC2,CC1,265
71,CC3,CC1,287
72,Endo,CC1,166
73,L2/3 IT,CC1,347
74,L4,CC1,402
75,L5 PT,CC1,239
76,L6 CT,CC1,271
77,L6 IT,CC1,288
78,L6b,CC1,200
79,Lamp5,CC1,263
80,NP,CC1,298
81,Pvalb,CC1,271
82,Sncg,CC1,270
83,Sst,CC1,282
84,Vip,CC1,353
85,Astro,CC1,150
86,CC1,CC1,118
87,CC2,CC1,264
88,CC3,CC1,285
89,Endo,CC1,167
90,L2/3 IT,CC1,342
91,L4,CC1,404
92,L5 PT,CC1,246
93,L6 CT,CC1,275
94,L6 IT,CC1,284
95,L6b,CC1,199
96,Lamp5,CC1,265
97,NP,CC1,295
98,Pvalb,CC1,262
99,Sncg,CC1,268
100,Sst,CC1,284
101,Vip,CC1,352
102,Astro,CC1,153
103,CC1,CC1,123
104,CC2,CC1,277
