"","orig.ident","nCount_RNA","nFeature_RNA","sample_id","sample_type","organism","donor","sex","age_days","eye_condition","genotype","driver_lines","reporter_lines","brain_hemisphere","brain_region","brain_subregion","injection_label_direction","injection_primary","injection_secondary","injection_tract","injection_material","injection_exclusion_criterion","facs_date","facs_container","facs_sort_criteria","rna_amplification_set","library_prep_set","library_prep_avg_size_bp","seq_name","seq_tube","seq_batch","total_reads","percent_exon_reads","percent_intron_reads","percent_intergenic_reads","percent_rrna_reads","percent_mt_exon_reads","percent_reads_unique","percent_synth_reads","percent_ecoli_reads","percent_aligned_reads_total","complexity_cg","genes_detected_cpm_criterion","genes_detected_fpkm_criterion","tdt_cpm","gfp_cpm","class","subclass","cluster","confusion_score","cluster_correlation","core_intermediate_call","id_raw","cell_type","dbscan_filter","id_new","coord_x","coord_y"
"F2S4_160516_020_D01","F2S4",2059662,10337,530713681,"Cells","Mus musculus",245824,"M",54,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","5/16/2016","F2S4_160516_020","RFP-positive","A8S4_160615_04","L8S4_160622_02_D08",466,"LS-15346_S60_E1-50","LS-15346","R8S4-160707",3068508,79.3947608042041,16.2966221153582,4.30861708043769,0.106957518,0.008049515,86.53866961,0.002439296,0.004899124,95.96826862,0.34387961,11541,10513,379.01,379.01,"Glutamatergic","L2/3 IT","L2/3 IT VISp Agmat",0.1156,0.88326034,"Core","F2S4_160516_020_D01","L2/3 IT",1,"F2S4_160516_020_D01",1146.69693898429,5339.04685622223
"F2S4_160405_003_H01","F2S4",1716646,3851,521592273,"Cells","Mus musculus",237569,"M",59,"Normal","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","Ndnf-IRES2-dgCre","Ai14(RCL-tdT)","L","VISp","L1","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/5/2016","F2S4_160405_003","RFP-positive","A8S4_160413_03","L8S4_160427_01_H03",398,"LS-15073_S24_E1-50","LS-15073","R8S4-160513",2651036,83.8607024098508,12.464767559873,3.67453003027619,0.047453147,0.000226327,79.039666,0.011824434,0.052010233,91.44881473,0.392824223,4935,3914,319.87,319.87,"Endothelial","Endo","Endo Ctla2a",0,0.714616628,"Core","F2S4_160405_003_H01","Endo",1,"F2S4_160405_003_H01",2227.98355408321,6640.68404073479
"F2S4_161129_006_F01","F2S4",2076054,11300,563198151,"Cells","Mus musculus",284144,"M",54,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","AUDd","PTLp, VISal, AUDd","none","AAV2-retro-EF1a-Cre","Inj_Site_Dissected","11/29/2016","F2S4_161129_006","RFP-positive","A8S4_161202_01","L8S4_161208_01_F10",346,"LS-15921_S78_E1-50","LS-15921","R8S4-161221",3039532,84.2469091411258,10.7498160003778,5.00327485849641,0.106332159,0.000230299,82.8308766,0.005722921,0.003899613,94.45690981,0.371914274,12694,11452,242.47,242.47,"Glutamatergic","L2/3 IT","L2/3 IT VISp Agmat",0.092,0.745515765,"Intermediate","F2S4_161129_006_F01","L2/3 IT",1,"F2S4_161129_006_F01",4731.55985239626,2718.63678503866
"F2S4_160330_029_G01","F2S4",1933986,10325,519594131,"Cells","Mus musculus",237303,"M",54,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/30/2016","F2S4_160330_029","RFP-positive","A8S4_160404_02","L8S4_160414_02_G11",447,"LS-15059_S87_E1-50","LS-15059","R8S4-160504",2561862,87.4393573779792,8.99040180326317,3.57024081875762,0.158283311,0.000390341,87.67650248,0.005940991,0.003294479,96.25475533,0.346239729,11250,10454,609.32,609.32,"Glutamatergic","L6 CT","L6 CT VISp Ctxn3 Sla",0.1565,0.896656855,"Core","F2S4_160330_029_G01","L6 CT",1,"F2S4_160330_029_G01",3536.17623609725,2913.71167467773
"F2S4_160428_011_C01","F2S4",1703639,9652,522738611,"Cells","Mus musculus",242308,"M",55,"Normal","Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Slc17a7-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/28/2016","F2S4_160428_011","RFP-positive","A8S4_160502_01","L8S4_160510_01_C05",748,"LS-15089_S35_E1-50","LS-15089","R8S4-160524",2433542,81.6333479152437,14.7931327404461,3.57351934431019,0.170615506,0.001232771,87.7418183,0.002050509,0.002257615,96.46630303,0.322961598,10665,9844,430.65,430.65,"Glutamatergic","L6 CT","L6 CT VISp Ctxn3 Brinp3",0.5333,0.894640857,"Core","F2S4_160428_011_C01","L6 CT",1,"F2S4_160428_011_C01",3554.39503835178,2799.18085227746
"F2S4_161207_001_A01","F2S4",1841963,9940,566709861,"Cells","Mus musculus",284706,"M",59,"Normal","Ai14(RCL-tdT)/Ai14(RCL-tdT)","","Ai14(RCL-tdT)/Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","LGd","LGd, LGv, LP","PTLp, HPF","RV-dGL-Cre","OK","12/7/2016","F2S4_161207_001","RFP-positive","A8S4_161209_01","L8S4_161220_01_A01",422,"SM-D9CXH_S01_E1-50","SM-D9CXH","R8S4-170111",2415348,88.5746162318133,8.07524953388818,3.35013423429853,0.155505542,0.000124206,87.24328751,0.007312818,0.001153457,96.2310607,0.350262606,10763,10070,1144.76,1144.76,"Glutamatergic","L6 CT","L6 CT VISp Ctxn3 Brinp3",0.0428,0.902607198,"Core","F2S4_161207_001_A01","L6 CT",1,"F2S4_161207_001_A01",3558.64351985132,2880.61755637688
"F2S4_161207_005_B01","F2S4",1894013,10103,566710125,"Cells","Mus musculus",284706,"M",59,"Normal","Ai14(RCL-tdT)/Ai14(RCL-tdT)","","Ai14(RCL-tdT)/Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","LGd","LGd, LGv, LP","PTLp, HPF","RV-dGL-Cre","OK","12/7/2016","F2S4_161207_005","RFP-positive","A8S4_161209_01","L8S4_161220_01_B05",398,"SM-D9CXH_S34_E1-50","SM-D9CXH","R8S4-170111",2462294,89.5399957837981,7.38743826618479,3.07256595001706,0.152378229,0.000365513,87.15811353,0.006438305,0.001083949,96.42861494,0.355453453,10948,10251,988.1,988.1,"Glutamatergic","L6 CT","L6 CT VISp Ctxn3 Sla",0.1687,0.906479676,"Core","F2S4_161207_005_B01","L6 CT",1,"F2S4_161207_005_B01",3555.61925972538,2840.73205153299
"F2S4_160609_001_D01","F2S4",1871396,9105,530709392,"Cells","Mus musculus",249710,"F",57,"Normal","Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Pvalb-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/9/2016","F2S4_160609_001","RFP-positive","A8S4_160613_01","L8S4_160617_04_D12",377,"LS-15340_S92_E1-50","LS-15340","R8S4-160701",2844363,80.6330982940211,14.6547658084876,4.71213589749131,0.084518045,0.000281258,83.41027499,0.001536372,0.009666488,94.6670309,0.362855467,10437,9243,173.33,173.33,"GABAergic","Pvalb","Pvalb Gpr149 Islr",0.4912,0.864071079,"Core","F2S4_160609_001_D01","Pvalb",1,"F2S4_160609_001_D01",2584.37774943566,5351.13392344063
"F2S4_160725_003_F01","F2S4",1553038,8464,543131728,"Cells","Mus musculus",259036,"M",55,"Normal","Chrna2-Cre_OE25/wt;Pvalb-T2A-Dre/wt;Ai66(RCRL-tdT)/wt","Chrna2-Cre_OE25|Pvalb-T2A-Dre","Ai66(RCRL-tdT)","L","VISp","L5-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/25/2016","F2S4_160725_003","RFP-positive","A8S4_160727_03","L8S4_160802_03_F12",438,"LS-15396_S94_E1-50","LS-15396","R8S4-160812",2464903,76.9955233695206,17.8959619415732,5.10851468890617,0.092011734,0.000324556,83.973203,0.000850338,0.006986888,94.26338481,0.356441831,9744,8608,47.87,47.87,"GABAergic","Pvalb","Pvalb Gpr149 Islr",0.5675,0.856179462,"Core","F2S4_160725_003_F01","Pvalb",1,"F2S4_160725_003_F01",2594.63801513081,5312.47222472129
"F2S4_160707_010_D01","F2S4",1706492,9454,539552981,"Cells","Mus musculus",255105,"F",58,"Normal","Ctgf-T2A-dgCre/wt;Ai14(RCL-tdT)/wt","Ctgf-T2A-dgCre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/7/2016","F2S4_160707_010","RFP-positive","A8S4_160711_01","L8S4_160718_05_D12",402,"LS-15372_S92_E1-50","LS-15372","R8S4-160722",2424714,82.9150326629857,13.0408779011346,4.04408943587964,0.145831632,0.000288694,86.54096937,0.001526366,0.003762093,96.37796458,0.346413626,10459,9628,204.56,204.56,"Glutamatergic","L6b","L6b VISp Crh",0.0178,0.8931432,"Core","F2S4_160707_010_D01","L6b",2,"F2S4_160707_010_D01",2675.95863796376,5653.09516812365
