"","orig.ident","nCount_RNA","nFeature_RNA","sample_id","sample_type","organism","donor","sex","age_days","eye_condition","genotype","driver_lines","reporter_lines","brain_hemisphere","brain_region","brain_subregion","injection_label_direction","injection_primary","injection_secondary","injection_tract","injection_material","injection_exclusion_criterion","facs_date","facs_container","facs_sort_criteria","rna_amplification_set","library_prep_set","library_prep_avg_size_bp","seq_name","seq_tube","seq_batch","total_reads","percent_exon_reads","percent_intron_reads","percent_intergenic_reads","percent_rrna_reads","percent_mt_exon_reads","percent_reads_unique","percent_synth_reads","percent_ecoli_reads","percent_aligned_reads_total","complexity_cg","genes_detected_cpm_criterion","genes_detected_fpkm_criterion","tdt_cpm","gfp_cpm","class","subclass","cluster","confusion_score","cluster_correlation","core_intermediate_call","id_raw","cell_type","dbscan_filter","id_new","coord_x","coord_y","CC_1","CC_2","CC_3"
"F2S4_160126_023_F01","F2S4",1220127,10279,527140070,"Cells","Mus musculus",227236,"M",56,"EYE: Cataracts (R)","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2016","F2S4_160126_023","RFP-positive","A8S4_160218_02","L8S4_160225_02_F11",399,"LS-15016_S86_E1-50","LS-15016","R8S4-160308",1983413,76.0661362741923,19.3420065229842,4.59185720282344,0.103659702,0.000352927,82.90265315,0.004049081,0.038601139,92.61923765,0.36421557,11483,10451,185.03,185.03,"Glutamatergic","L5 IT","Whrn Tox2",0.8203,0.888698782,"Core","F2S4_160126_023_F01","L5 IT",1,"F2S4_160126_023_F01",1505.76554981083,6632.54377139952,-0.0700186320154342,0.0368958901576785,0.199501688130346
"F2S4_180110_047_B01","F2S4",833506,10113,660545848,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","R","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_047","RFP-positive","A8S4_180111_10","L8S4_180118_03_B04",365,"SM-GE676_S122_E1-50","SM-GE676","R8S4-180124",1324859,74.3872986464212,20.7999441413113,4.81275721226755,0.101142839,0.000150959,86.4775044,0.003504524,0.002641791,95.30704777,0.339278149,11112,10277,170.58,170.58,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1596,0.899980772,"Intermediate","F2S4_180110_047_B01","L5 IT",1,"F2S4_180110_047_B01",2450.76412024033,2938.59534186637,-0.176146153913998,0.352068891646249,0.00544368257011507
"F2S4_160616_009_E01","F2S4",1434141,8713,535958488,"Cells","Mus musculus",250953,"F",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","R","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/16/2016","F2S4_160616_009","RFP-positive","A8S4_160620_04","L8S4_160701_01_E11",456,"LS-15353_S85_E1-50","LS-15353","R8S4-160712",2280088,74.6286942301041,21.146617163156,4.22468860673991,0.086970327,0.000175432,86.48907411,0.002633232,0.005199361,95.93752522,0.329458391,9836,8883,326.3,326.3,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1204,0.863294,"Core","F2S4_160616_009_E01","L5 IT",1,"F2S4_160616_009_E01",1737.25779782424,5527.94666369135,-0.0447626748114989,0.24195000104611,-0.0573308273171885
"F2S4_160623_044_H01","F2S4",1779269,10127,539548070,"Cells","Mus musculus",252598,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/23/2016","F2S4_160623_044","RFP-positive","A8S4_160705_02","L8S4_160712_02_H05",410,"LS-15366_S40_E1-50","LS-15366","R8S4-160722",2444175,86.9060888683932,9.21065528007033,3.88325585153643,0.080763448,0.00147289,85.15642292,0.002384854,0.004652695,96.12867327,0.360899597,11075,10259,173.06,173.06,"Glutamatergic","L5 IT","Whrn Tox2",0.5091,0.906616334,"Core","F2S4_160623_044_H01","L5 IT",1,"F2S4_160623_044_H01",1758.39796260311,5561.90389315905,-0.123796167336776,0.151918762601734,0.11146320332173
"F2S4_160622_010_D01","F2S4",1445275,10354,535903953,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_010","RFP-positive","A8S4_160628_01","L8S4_160706_04_D04",380,"LS-15360_S28_E1-50","LS-15360","R8S4-160715",2584515,66.5678303075182,28.1523691307561,5.27980056172567,0.109575684,7.74e-05,86.60735186,0.002102522,0.006010412,95.22293351,0.316585253,11555,10512,134.26,134.26,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1373,0.870813259,"Core","F2S4_160622_010_D01","L5 IT",1,"F2S4_160622_010_D01",2089.15663961534,4363.48185286573,-0.0534215115559072,0.280786051490595,-0.0785857636730716
"F2S4_160622_019_A01","F2S4",978744,8895,535908514,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_019","RFP-positive","A8S4_160630_02","L8S4_160708_03_A03",468,"LS-15363_S17_E1-50","LS-15363","R8S4-160715",1375598,83.7101168163194,12.4385289044048,3.85135427927581,0.140738791,7.27e-05,87.09841102,0.004389364,0.004161099,96.62975666,0.347055655,9742,9113,349.67,349.67,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1371,0.883375095,"Core","F2S4_160622_019_A01","L5 IT",1,"F2S4_160622_019_A01",2124.45034369475,4382.30615769633,-0.133904810626625,0.323740263415746,-0.175794000199634
"F2S4_161028_021_A01","F2S4",1832769,9964,567019513,"Cells","Mus musculus",278160,"M",55,"Normal","Tlx3-Cre_PL56/wt;Ai14(RCL-tdT)/wt","Tlx3-Cre_PL56","Ai14(RCL-tdT)","L","VISp","L4-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","10/28/2016","F2S4_161028_021","RFP-positive","A8S4_170105_02","L8S4_170111_04_A07",396,"SM-D9CXY_S49_E1-50","SM-D9CXY","R8S4-170118",2791692,86.106096063355,9.64316114732069,4.25074278932432,0.093455868,0.000537309,77.55694396,0.0062686,0.002456575,87.90708287,0.379601284,11181,10067,174.09,174.09,"Glutamatergic","L5 IT","Whrn Tox2",0.3125,0.891687602,"Core","F2S4_161028_021_A01","L5 IT",1,"F2S4_161028_021_A01",2462.64228307257,3201.01648879,-0.0902757953838825,0.173350518488467,0.0746265846680086
"F2S4_160328_014_B01","F2S4",2027647,8299,583382408,"Cells","Mus musculus",236509,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/28/2016","F2S4_160328_014","RFP-positive","A8S4_170324_02","L8S4_170330_05_F12",399,"SM-D9D8K_S94_E1-50","SM-D9D8K","R8S4-170412",2917356,84.7804522419465,11.1046137076147,4.1149340504388,0.135636515,0.00071983,83.58873583,0.001923317,0.002307226,94.90182206,0.3640301,9680,8438,224.86,224.86,"Glutamatergic","L5 IT","Batf3",0.1452,0.85658062,"Core","F2S4_160328_014_B01","L5 IT",1,"F2S4_160328_014_B01",2496.25294373269,3638.10037196909,0.132868202326092,-0.0706115647631297,0.260344139081832
"F2S4_160329_026_B01","F2S4",2010488,9548,541798044,"Cells","Mus musculus",237300,"M",53,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/29/2016","F2S4_160329_026","RFP-positive","A8S4_160720_01","L8S4_160726_04_B04",421,"LS-15385_S26_E2-50","LS-15385","R8S4-160805",2901023,83.2706152949958,12.6411636091639,4.08822109584031,0.100929913,0.000620471,53.82535747,0.00086797,0.003848642,60.65312133,0.365620999,10230,9351,120.07,120.07,"Glutamatergic","L5 IT","Batf3",0.1744,0.881650294,"Core","F2S4_160329_026_B01","L5 IT",1,"F2S4_160329_026_B01",2476.73834598029,3562.70993926335,0.0043076441729078,-0.0811362187184397,0.325407243522304
"F2S4_160616_010_D01","F2S4",1772131,9021,546971596,"Cells","Mus musculus",250953,"F",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/16/2016","F2S4_160616_010","RFP-positive","A8S4_160620_01","L8S4_160629_02_D09",419,"LS-15350_S68_E1-50","LS-15350","R8S4-160712",2462085,85.5977378309208,10.7006344700872,3.70162769899195,0.100483939,0.000162464,85.79370737,0.002218851,0.00416192,96.55235299,0.361974921,10052,9168,246.54,246.54,"Glutamatergic","L5 IT","Batf3",0.1374,0.88834789,"Core","F2S4_160616_010_D01","L5 IT",1,"F2S4_160616_010_D01",2446.12686569747,3630.98286620747,0.15979571125701,-0.0859665413741332,0.285461648689468
