gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	#B16BA8	#F39426	B cells Memory	CAFs MSC iCAF-like	CAFs myCAF-like	Cycling PVL	Cycling T-cells	Cycling_Myeloid	DCs	Endothelial ACKR1	Endothelial CXCL12	Endothelial RGS5	Luminal Progenitors	Macrophage	Monocyte	NK cells	NKT cells	PVL Differentiated	PVL Immature	T cells CD4+	T cells CD8+
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.0	0.0	0.0	0.054	0.025	0.0	0.0	0.0	0.213	0.023	0.055	0.03	0.0	0.02	0.0	0.0	0.0	0.0	0.024	0.05	0.067
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.0	0.0	0.0	0.054	0.025	0.0	0.0	0.0	0.213	0.023	0.055	0.03	0.0	0.02	0.0	0.0	0.0	0.0	0.024	0.05	0.067
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.261	0.202	0.0	0.036	0.016	0.0	0.0	0.055	0.054	0.016	0.0	0.0	0.058	0.064	0.131	0.0	0.0	0.038	0.131	0.024	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.261	0.202	0.0	0.036	0.016	0.0	0.0	0.055	0.054	0.016	0.0	0.0	0.058	0.064	0.131	0.0	0.0	0.038	0.131	0.024	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.261	0.202	0.0	0.036	0.016	0.0	0.0	0.055	0.054	0.016	0.0	0.0	0.058	0.064	0.131	0.0	0.0	0.038	0.131	0.024	0.0
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.485	0.463	0.062	0.122	0.131	0.0	0.189	0.412	0.0	0.139	0.162	0.153	0.218	0.157	0.1	0.0	0.0	0.043	0.15	0.015	0.0
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.12	0.081	0.018	0.02	0.049	0.0	0.191	0.0	0.07	0.048	0.061	0.098	0.0	0.071	0.0	0.0	0.0	0.046	0.021	0.012	0.077
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	0.002	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	0.02	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.114	0.109	0.0	0.015	0.008	0.0	0.0	0.0	0.0	0.02	0.021	0.032	0.111	0.038	0.0	0.0	0.0	0.0	0.0	0.013	0.033
