gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	#B16BA8	#F39426	B cells Memory	CAFs MSC iCAF-like	CAFs myCAF-like	Cancer Cycling	Cycling PVL	Cycling_Myeloid	DCs	Endothelial ACKR1	Endothelial CXCL12	Endothelial Lymphatic LYVE1	Endothelial RGS5	Luminal Progenitors	Macrophage	Mature Luminal	Monocyte	PVL Differentiated	PVL Immature	Plasmablasts	T cells CD4+	T cells CD8+
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.037	0.046	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.0	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.037	0.046	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.0	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.0	0.0	0.0	0.026	0.014	0.0	0.0	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.029	0.018	0.031	0.0	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.0	0.0	0.0	0.026	0.014	0.0	0.0	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.029	0.018	0.031	0.0	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.0	0.0	0.0	0.026	0.014	0.0	0.0	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.029	0.018	0.031	0.0	0.0
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.0	0.186	0.0	0.078	0.06	0.0	0.614	0.239	0.16	0.119	0.106	0.0	0.061	0.0	0.107	0.0	0.0	0.0	0.124	0.041	0.046	0.0
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.23	0.184	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.038	0.124	0.0	0.0	0.019	0.0	0.0	0.094
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.034	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.02	0.0	0.143	0.02	0.407	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.034	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.02	0.0	0.143	0.02	0.407	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.034	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.02	0.0	0.143	0.02	0.407	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	0.034	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.02	0.0	0.143	0.02	0.407	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.237	0.0	0.036	0.048	0.075	0.0	0.0	0.0	0.0	0.057	0.098	0.0	0.075	0.0	0.0	0.547	0.0	0.089	0.023	0.028	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.0	0.13	0.0	0.02	0.009	0.0	0.0	0.253	0.0	0.032	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.016	0.0	0.01	0.0	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.0	0.13	0.0	0.02	0.009	0.0	0.0	0.253	0.0	0.032	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.016	0.0	0.01	0.0	0.0
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.074	0.0	0.144	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.074	0.0	0.144	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.074	0.0	0.144	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.074	0.0	0.144	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.074	0.0	0.144	0.0	0.0	0.0	0.0	0.0
