,index,celltype,inter
0,#B16BA8,#B16BA8,4
1,#F39426,#B16BA8,18
2,B cells Memory,#B16BA8,1
3,CAFs MSC iCAF-like,#B16BA8,1
4,CAFs myCAF-like,#B16BA8,5
5,Cancer Cycling,#B16BA8,2
6,Cycling PVL,#B16BA8,4
7,Cycling_Myeloid,#B16BA8,6
8,DCs,#B16BA8,3
9,Endothelial ACKR1,#B16BA8,10
10,Endothelial CXCL12,#B16BA8,9
11,Endothelial Lymphatic LYVE1,#B16BA8,16
12,Endothelial RGS5,#B16BA8,12
13,Luminal Progenitors,#B16BA8,10
14,Macrophage,#B16BA8,7
15,Mature Luminal,#B16BA8,12
16,Monocyte,#B16BA8,4
17,PVL Differentiated,#B16BA8,1
18,PVL Immature,#B16BA8,1
19,Plasmablasts,#B16BA8,0
20,T cells CD4+,#B16BA8,4
21,T cells CD8+,#B16BA8,2
22,#B16BA8,#B16BA8,4
23,#F39426,#B16BA8,13
24,B cells Memory,#B16BA8,3
25,CAFs MSC iCAF-like,#B16BA8,1
26,CAFs myCAF-like,#B16BA8,5
27,Cancer Cycling,#B16BA8,2
28,Cycling PVL,#B16BA8,4
29,Cycling_Myeloid,#B16BA8,6
30,DCs,#B16BA8,4
31,Endothelial ACKR1,#B16BA8,10
32,Endothelial CXCL12,#B16BA8,9
33,Endothelial Lymphatic LYVE1,#B16BA8,13
34,Endothelial RGS5,#B16BA8,12
35,Luminal Progenitors,#B16BA8,11
36,Macrophage,#B16BA8,7
37,Mature Luminal,#B16BA8,13
38,Monocyte,#B16BA8,4
39,PVL Differentiated,#B16BA8,1
40,PVL Immature,#B16BA8,1
41,Plasmablasts,#B16BA8,0
42,T cells CD4+,#B16BA8,4
43,T cells CD8+,#B16BA8,2
44,#B16BA8,#B16BA8,4
45,#F39426,#B16BA8,12
46,B cells Memory,#B16BA8,1
47,CAFs MSC iCAF-like,#B16BA8,1
48,CAFs myCAF-like,#B16BA8,5
49,Cancer Cycling,#B16BA8,2
50,Cycling PVL,#B16BA8,1
51,Cycling_Myeloid,#B16BA8,5
52,DCs,#B16BA8,3
53,Endothelial ACKR1,#B16BA8,10
54,Endothelial CXCL12,#B16BA8,9
55,Endothelial Lymphatic LYVE1,#B16BA8,14
56,Endothelial RGS5,#B16BA8,12
57,Luminal Progenitors,#B16BA8,11
58,Macrophage,#B16BA8,7
59,Mature Luminal,#B16BA8,13
60,Monocyte,#B16BA8,4
61,PVL Differentiated,#B16BA8,1
62,PVL Immature,#B16BA8,1
63,Plasmablasts,#B16BA8,0
64,T cells CD4+,#B16BA8,4
65,T cells CD8+,#B16BA8,2
66,#B16BA8,#B16BA8,5
67,#F39426,#B16BA8,18
68,B cells Memory,#B16BA8,2
69,CAFs MSC iCAF-like,#B16BA8,1
70,CAFs myCAF-like,#B16BA8,5
71,Cancer Cycling,#B16BA8,2
72,Cycling PVL,#B16BA8,3
73,Cycling_Myeloid,#B16BA8,6
74,DCs,#B16BA8,3
75,Endothelial ACKR1,#B16BA8,10
76,Endothelial CXCL12,#B16BA8,11
77,Endothelial Lymphatic LYVE1,#B16BA8,14
78,Endothelial RGS5,#B16BA8,12
