gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	#B16BA8	#F39426	B cells Memory	CAFs MSC iCAF-like	CAFs myCAF-like	Cancer Cycling	Cancer LumB SC	Cycling PVL	Cycling T-cells	Cycling_Myeloid	DCs	Endothelial ACKR1	Endothelial CXCL12	Endothelial Lymphatic LYVE1	Endothelial RGS5	Luminal Progenitors	Macrophage	Mature Luminal	Monocyte	Myoepithelial	NK cells	NKT cells	PVL Differentiated	PVL Immature	Plasmablasts	T cells CD4+	T cells CD8+
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.048	0.03	0.03	0.0	0.0	0.0	0.062	0.0	0.03	0.0	0.052	0.0	0.055	0.0	0.0	0.0	0.0	0.056	0.082
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.048	0.03	0.03	0.0	0.0	0.0	0.062	0.0	0.03	0.0	0.052	0.0	0.055	0.0	0.0	0.0	0.0	0.056	0.082
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.264	0.222	0.0	0.04	0.047	0.243	0.264	0.192	0.0	0.299	0.044	0.0	0.039	0.0	0.023	0.041	0.14	0.187	0.113	0.0	0.0	0.0	0.125	0.242	0.013	0.021	0.03
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.264	0.222	0.0	0.04	0.047	0.243	0.264	0.192	0.0	0.299	0.044	0.0	0.039	0.0	0.023	0.041	0.14	0.187	0.113	0.0	0.0	0.0	0.125	0.242	0.013	0.021	0.03
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.264	0.222	0.0	0.04	0.047	0.243	0.264	0.192	0.0	0.299	0.044	0.0	0.039	0.0	0.023	0.041	0.14	0.187	0.113	0.0	0.0	0.0	0.125	0.242	0.013	0.021	0.03
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.161	0.164	0.031	0.025	0.088	0.111	0.102	0.199	0.023	0.151	0.083	0.151	0.377	0.0	0.127	0.069	0.216	0.198	0.204	0.0	0.0	0.186	0.066	0.157	0.047	0.029	0.027
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.052	0.047	0.0	0.035	0.063	0.037	0.027	0.057	0.019	0.067	0.087	0.016	0.0	0.0	0.07	0.0	0.034	0.0	0.04	0.0	0.0	0.126	0.022	0.042	0.008	0.006	0.0
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
