gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	AVN_P_cell	AVN_bundle_cell	Adip1	Adip2	B	B_plasma	CD14+Mo	CD16+Mo	CD4+T_act	CD4+T_naive	CD8+T_te	CD8+T_trans	DC	EC10_CMC-like	EC1_cap	EC2_cap	EC3_cap	EC4_immune	EC5_art	EC6_ven	EC7_endocardial	EC8_ln	FB1	FB2	FB3	FB4_activated	FB5	FB6	LYVE1+IGF1+MP	LYVE1+MP_cycling	LYVE1+TIMD4+MP	Mast	MoMP	NC1_glial	NC2_glial_NGF+	NK_CD16hi	NK_CD56hi	PC1_vent	PC2_atria	PC3_str	PC4_CMC-like	SMC1_basic	SMC2_art	aCM1	aCM2	aCM3	aCM4	myocardium_ventricular	node	vCM1	vCM2	vCM4
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.026	0.0	0.112	0.134	0.153	0.0	0.423	0.778	0.336	0.396	0.0	0.252	0.461	0.155	0.077	0.064	0.184	0.164	0.232	0.107	0.273	0.082	0.082	0.051	0.138	0.077	0.049	0.082	0.667	0.744	0.529	0.0	0.562	0.278	0.404	0.426	0.513	0.128	0.054	0.104	0.098	0.023	0.061	0.03	0.006	0.039	0.016	0.107	0.08	0.005	0.008	0.006
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	0.026	0.0	0.112	0.134	0.153	0.0	0.423	0.778	0.336	0.396	0.0	0.252	0.461	0.155	0.077	0.064	0.184	0.164	0.232	0.107	0.273	0.082	0.082	0.051	0.138	0.077	0.049	0.082	0.667	0.744	0.529	0.0	0.562	0.278	0.404	0.426	0.513	0.128	0.054	0.104	0.098	0.023	0.061	0.03	0.006	0.039	0.016	0.107	0.08	0.005	0.008	0.006
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.026	0.0	0.112	0.134	0.153	0.0	0.423	0.778	0.336	0.396	0.0	0.252	0.461	0.155	0.077	0.064	0.184	0.164	0.232	0.107	0.273	0.082	0.082	0.051	0.138	0.077	0.049	0.082	0.667	0.744	0.529	0.0	0.562	0.278	0.404	0.426	0.513	0.128	0.054	0.104	0.098	0.023	0.061	0.03	0.006	0.039	0.016	0.107	0.08	0.005	0.008	0.006
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.115	0.044	0.058	0.07	0.0	0.0	0.222	0.062	0.049	0.041	0.0	0.11	0.0	0.006	0.019	0.015	0.025	0.0	0.017	0.011	0.074	0.0	0.066	0.07	0.05	0.042	0.055	0.009	0.085	0.064	0.0	0.0	0.017	0.05	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.019	0.0	0.165	0.143	0.062	0.036	0.059	0.046	0.103	0.06	0.084
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.115	0.044	0.058	0.07	0.0	0.0	0.222	0.062	0.049	0.041	0.0	0.11	0.0	0.006	0.019	0.015	0.025	0.0	0.017	0.011	0.074	0.0	0.066	0.07	0.05	0.042	0.055	0.009	0.085	0.064	0.0	0.0	0.017	0.05	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.019	0.0	0.165	0.143	0.062	0.036	0.059	0.046	0.103	0.06	0.084
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.115	0.044	0.058	0.07	0.0	0.0	0.222	0.062	0.049	0.041	0.0	0.11	0.0	0.006	0.019	0.015	0.025	0.0	0.017	0.011	0.074	0.0	0.066	0.07	0.05	0.042	0.055	0.009	0.085	0.064	0.0	0.0	0.017	0.05	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.019	0.0	0.165	0.143	0.062	0.036	0.059	0.046	0.103	0.06	0.084
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.107	0.037	0.038	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.043	0.009	0.0	0.067	0.214	0.068	0.03	0.058	0.04	0.012	0.031	0.049	0.03	0.013	0.0	0.048	0.0	0.0	0.0	0.056	0.019	0.054	0.0	0.0	0.09	0.073	0.076	0.0	0.0	0.0	0.038	0.051	0.034	0.048	0.081	0.039	0.045	0.046	0.04
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.024	0.049	0.04	0.15	0.069	0.0	0.388	0.196	0.0	0.226	0.0	0.0	0.298	0.043	0.065	0.054	0.014	0.0	0.049	0.068	0.0	0.052	0.048	0.062	0.072	0.035	0.065	0.023	0.062	0.136	0.055	0.159	0.159	0.029	0.0	0.142	0.408	0.055	0.047	0.055	0.0	0.064	0.0	0.047	0.037	0.041	0.031	0.073	0.021	0.051	0.062	0.04
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
