,index,celltype,inter
0,AVN_P_cell,node,206
1,AVN_bundle_cell,node,181
2,Adip1,node,114
3,Adip2,node,296
4,B,node,22
5,B_plasma,node,17
6,CD14+Mo,node,23
7,CD16+Mo,node,42
8,CD4+T_act,node,26
9,CD4+T_naive,node,26
10,CD8+T_te,node,10
11,CD8+T_trans,node,19
12,DC,node,41
13,EC10_CMC-like,node,135
14,EC1_cap,node,63
15,EC2_cap,node,70
16,EC3_cap,node,81
17,EC4_immune,node,74
18,EC5_art,node,92
19,EC6_ven,node,90
20,EC7_endocardial,node,172
21,EC8_ln,node,97
22,FB1,node,120
23,FB2,node,162
24,FB3,node,144
25,FB4_activated,node,159
26,FB5,node,143
27,FB6,node,135
28,LYVE1+IGF1+MP,node,59
29,LYVE1+MP_cycling,node,59
30,LYVE1+TIMD4+MP,node,53
31,Mast,node,23
32,MoMP,node,64
33,NC1_glial,node,168
34,NC2_glial_NGF+,node,254
35,NK_CD16hi,node,37
36,NK_CD56hi,node,52
37,PC1_vent,node,80
38,PC2_atria,node,128
39,PC3_str,node,91
40,PC4_CMC-like,node,99
41,SMC1_basic,node,68
42,SMC2_art,node,144
43,aCM1,node,152
44,aCM2,node,200
45,aCM3,node,160
46,aCM4,node,138
47,myocardium_ventricular,node,151
48,node,node,79
49,vCM1,node,129
50,vCM2,node,107
51,vCM4,node,123
52,AVN_P_cell,node,205
53,AVN_bundle_cell,node,181
54,Adip1,node,115
55,Adip2,node,303
56,B,node,21
57,B_plasma,node,20
58,CD14+Mo,node,23
59,CD16+Mo,node,42
60,CD4+T_act,node,25
61,CD4+T_naive,node,26
62,CD8+T_te,node,9
63,CD8+T_trans,node,19
64,DC,node,41
65,EC10_CMC-like,node,135
66,EC1_cap,node,64
67,EC2_cap,node,70
68,EC3_cap,node,81
69,EC4_immune,node,74
70,EC5_art,node,92
71,EC6_ven,node,91
72,EC7_endocardial,node,172
73,EC8_ln,node,99
74,FB1,node,120
75,FB2,node,161
76,FB3,node,143
77,FB4_activated,node,158
78,FB5,node,143
79,FB6,node,134
80,LYVE1+IGF1+MP,node,59
81,LYVE1+MP_cycling,node,58
82,LYVE1+TIMD4+MP,node,53
83,Mast,node,24
84,MoMP,node,63
85,NC1_glial,node,168
86,NC2_glial_NGF+,node,255
87,NK_CD16hi,node,37
88,NK_CD56hi,node,53
89,PC1_vent,node,78
90,PC2_atria,node,127
91,PC3_str,node,91
92,PC4_CMC-like,node,103
93,SMC1_basic,node,69
94,SMC2_art,node,143
95,aCM1,node,154
96,aCM2,node,199
97,aCM3,node,161
98,aCM4,node,135
99,myocardium_ventricular,node,152
100,node,node,80
101,vCM1,node,131
102,vCM2,node,109
103,vCM4,node,125
104,AVN_P_cell,node,205
105,AVN_bundle_cell,node,184
106,Adip1,node,116
107,Adip2,node,302
108,B,node,22
109,B_plasma,node,17
110,CD14+Mo,node,23
111,CD16+Mo,node,42
112,CD4+T_act,node,26
113,CD4+T_naive,node,26
114,CD8+T_te,node,11
115,CD8+T_trans,node,19
116,DC,node,42
117,EC10_CMC-like,node,135
118,EC1_cap,node,64
119,EC2_cap,node,70
120,EC3_cap,node,81
121,EC4_immune,node,74
122,EC5_art,node,93
123,EC6_ven,node,89
124,EC7_endocardial,node,172
125,EC8_ln,node,99
126,FB1,node,121
127,FB2,node,161
128,FB3,node,143
129,FB4_activated,node,157
130,FB5,node,142
131,FB6,node,135
132,LYVE1+IGF1+MP,node,59
133,LYVE1+MP_cycling,node,57
134,LYVE1+TIMD4+MP,node,50
135,Mast,node,22
136,MoMP,node,64
137,NC1_glial,node,169
138,NC2_glial_NGF+,node,253
139,NK_CD16hi,node,37
140,NK_CD56hi,node,48
141,PC1_vent,node,80
142,PC2_atria,node,128
143,PC3_str,node,91
144,PC4_CMC-like,node,98
145,SMC1_basic,node,67
146,SMC2_art,node,144
147,aCM1,node,154
148,aCM2,node,198
149,aCM3,node,162
150,aCM4,node,134
151,myocardium_ventricular,node,156
152,node,node,80
153,vCM1,node,131
154,vCM2,node,107
155,vCM4,node,124
156,AVN_P_cell,node,205
157,AVN_bundle_cell,node,186
158,Adip1,node,115
159,Adip2,node,302
160,B,node,23
161,B_plasma,node,18
162,CD14+Mo,node,23
163,CD16+Mo,node,42
164,CD4+T_act,node,26
165,CD4+T_naive,node,26
166,CD8+T_te,node,11
167,CD8+T_trans,node,19
168,DC,node,41
169,EC10_CMC-like,node,136
170,EC1_cap,node,63
171,EC2_cap,node,70
172,EC3_cap,node,81
173,EC4_immune,node,74
174,EC5_art,node,92
175,EC6_ven,node,89
176,EC7_endocardial,node,172
177,EC8_ln,node,98
178,FB1,node,122
179,FB2,node,162
180,FB3,node,140
181,FB4_activated,node,156
182,FB5,node,142
183,FB6,node,135
184,LYVE1+IGF1+MP,node,59
185,LYVE1+MP_cycling,node,57
