,index,celltype,inter
0,Adip1,epicardium_subepicardium,102
1,Adip2,epicardium_subepicardium,228
2,B,epicardium_subepicardium,16
3,B_plasma,epicardium_subepicardium,80
4,CD14+Mo,epicardium_subepicardium,81
5,CD16+Mo,epicardium_subepicardium,65
6,CD4+T_act,epicardium_subepicardium,41
7,CD4+T_naive,epicardium_subepicardium,32
8,CD8+T_em,epicardium_subepicardium,54
9,CD8+T_te,epicardium_subepicardium,25
10,CD8+T_trans,epicardium_subepicardium,26
11,DC,epicardium_subepicardium,77
12,EC10_CMC-like,epicardium_subepicardium,81
13,EC1_cap,epicardium_subepicardium,60
14,EC2_cap,epicardium_subepicardium,58
15,EC3_cap,epicardium_subepicardium,67
16,EC5_art,epicardium_subepicardium,97
17,EC6_ven,epicardium_subepicardium,113
18,EC7_endocardial,epicardium_subepicardium,161
19,EC8_ln,epicardium_subepicardium,169
20,FB2,epicardium_subepicardium,152
21,FB3,epicardium_subepicardium,135
22,FB4_activated,epicardium_subepicardium,121
23,FB5,epicardium_subepicardium,107
24,FB6,epicardium_subepicardium,102
25,ILC,epicardium_subepicardium,31
26,LYVE1+IGF1+MP,epicardium_subepicardium,74
27,LYVE1+MP_cycling,epicardium_subepicardium,82
28,LYVE1+TIMD4+MP,epicardium_subepicardium,86
29,MAIT-like,epicardium_subepicardium,51
30,Mast,epicardium_subepicardium,12
31,MoMP,epicardium_subepicardium,84
32,NC1_glial,epicardium_subepicardium,134
33,NC2_glial_NGF+,epicardium_subepicardium,257
34,NK_CD16hi,epicardium_subepicardium,36
35,NK_CD56hi,epicardium_subepicardium,39
36,PC2_atria,epicardium_subepicardium,91
37,PC3_str,epicardium_subepicardium,77
38,SAN_P_cell,epicardium_subepicardium,177
39,SMC1_basic,epicardium_subepicardium,45
40,SMC2_art,epicardium_subepicardium,114
41,aCM1,epicardium_subepicardium,72
42,aCM2,epicardium_subepicardium,121
43,aCM3,epicardium_subepicardium,68
44,aCM4,epicardium_subepicardium,68
45,epicardium_subepicardium,epicardium_subepicardium,51
46,myocardium,epicardium_subepicardium,109
47,Adip1,epicardium_subepicardium,112
48,Adip2,epicardium_subepicardium,254
49,B,epicardium_subepicardium,15
50,B_plasma,epicardium_subepicardium,83
51,CD14+Mo,epicardium_subepicardium,77
52,CD16+Mo,epicardium_subepicardium,60
53,CD4+T_act,epicardium_subepicardium,41
54,CD4+T_naive,epicardium_subepicardium,30
55,CD8+T_em,epicardium_subepicardium,54
56,CD8+T_te,epicardium_subepicardium,27
57,CD8+T_trans,epicardium_subepicardium,25
58,DC,epicardium_subepicardium,80
59,EC10_CMC-like,epicardium_subepicardium,85
60,EC1_cap,epicardium_subepicardium,57
61,EC2_cap,epicardium_subepicardium,59
62,EC3_cap,epicardium_subepicardium,70
63,EC5_art,epicardium_subepicardium,96
64,EC6_ven,epicardium_subepicardium,115
65,EC7_endocardial,epicardium_subepicardium,160
66,EC8_ln,epicardium_subepicardium,171
67,FB2,epicardium_subepicardium,171
68,FB3,epicardium_subepicardium,157
69,FB4_activated,epicardium_subepicardium,136
70,FB5,epicardium_subepicardium,128
71,FB6,epicardium_subepicardium,122
72,ILC,epicardium_subepicardium,37
73,LYVE1+IGF1+MP,epicardium_subepicardium,69
74,LYVE1+MP_cycling,epicardium_subepicardium,71
75,LYVE1+TIMD4+MP,epicardium_subepicardium,79
76,MAIT-like,epicardium_subepicardium,52
77,Mast,epicardium_subepicardium,12
78,MoMP,epicardium_subepicardium,77
79,NC1_glial,epicardium_subepicardium,142
80,NC2_glial_NGF+,epicardium_subepicardium,272
81,NK_CD16hi,epicardium_subepicardium,35
82,NK_CD56hi,epicardium_subepicardium,40
83,PC2_atria,epicardium_subepicardium,108
84,PC3_str,epicardium_subepicardium,88
85,SAN_P_cell,epicardium_subepicardium,181
86,SMC1_basic,epicardium_subepicardium,52
87,SMC2_art,epicardium_subepicardium,131
88,aCM1,epicardium_subepicardium,78
89,aCM2,epicardium_subepicardium,123
90,aCM3,epicardium_subepicardium,74
91,aCM4,epicardium_subepicardium,77
92,epicardium_subepicardium,epicardium_subepicardium,65
93,myocardium,epicardium_subepicardium,126
94,Adip1,epicardium_subepicardium,97
95,Adip2,epicardium_subepicardium,218
96,B,epicardium_subepicardium,16
97,B_plasma,epicardium_subepicardium,72
98,CD14+Mo,epicardium_subepicardium,78
99,CD16+Mo,epicardium_subepicardium,63
100,CD4+T_act,epicardium_subepicardium,37
101,CD4+T_naive,epicardium_subepicardium,24
102,CD8+T_em,epicardium_subepicardium,46
103,CD8+T_te,epicardium_subepicardium,23
104,CD8+T_trans,epicardium_subepicardium,25
105,DC,epicardium_subepicardium,76
106,EC10_CMC-like,epicardium_subepicardium,85
107,EC1_cap,epicardium_subepicardium,62
108,EC2_cap,epicardium_subepicardium,62
109,EC3_cap,epicardium_subepicardium,68
110,EC5_art,epicardium_subepicardium,99
111,EC6_ven,epicardium_subepicardium,105
112,EC7_endocardial,epicardium_subepicardium,147
113,EC8_ln,epicardium_subepicardium,164
114,FB2,epicardium_subepicardium,142
115,FB3,epicardium_subepicardium,132
