gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Adip1	Adip2	B	B_plasma	CD14+Mo	CD16+Mo	CD4+T_act	CD4+T_naive	CD8+T_em	CD8+T_te	CD8+T_trans	DC	EC10_CMC-like	EC1_cap	EC2_cap	EC3_cap	EC5_art	EC6_ven	EC7_endocardial	EC8_ln	FB2	FB3	FB4_activated	FB5	FB6	ILC	LYVE1+IGF1+MP	LYVE1+MP_cycling	LYVE1+TIMD4+MP	MAIT-like	Mast	MoMP	NC1_glial	NC2_glial_NGF+	NK_CD16hi	NK_CD56hi	PC2_atria	PC3_str	SAN_P_cell	SMC1_basic	SMC2_art	aCM1	aCM2	aCM3	aCM4	epicardium_subepicardium	myocardium
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.052	0.113	0.308	0.608	0.654	0.771	0.672	0.591	0.405	0.318	0.319	0.458	0.139	0.056	0.0	0.133	0.179	0.097	0.093	0.111	0.01	0.006	0.0	0.025	0.0	1.128	0.756	0.91	1.042	0.449	0.0	0.642	0.025	0.079	0.687	0.848	0.007	0.096	0.006	0.0	0.012	0.003	0.0	0.0	0.007	0.014	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	0.052	0.113	0.308	0.608	0.654	0.771	0.672	0.591	0.405	0.318	0.319	0.458	0.139	0.056	0.0	0.133	0.179	0.097	0.093	0.111	0.01	0.006	0.0	0.025	0.0	1.128	0.756	0.91	1.042	0.449	0.0	0.642	0.025	0.079	0.687	0.848	0.007	0.096	0.006	0.0	0.012	0.003	0.0	0.0	0.007	0.014	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.052	0.113	0.308	0.608	0.654	0.771	0.672	0.591	0.405	0.318	0.319	0.458	0.139	0.056	0.0	0.133	0.179	0.097	0.093	0.111	0.01	0.006	0.0	0.025	0.0	1.128	0.756	0.91	1.042	0.449	0.0	0.642	0.025	0.079	0.687	0.848	0.007	0.096	0.006	0.0	0.012	0.003	0.0	0.0	0.007	0.014	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.194	0.201	0.018	0.0	0.212	0.115	0.0	0.0	0.02	0.0	0.0	0.05	0.029	0.0	0.0	0.0	0.044	0.043	0.143	0.0	0.114	0.072	0.166	0.09	0.029	0.0	0.1	0.078	0.138	0.0	0.07	0.089	0.03	0.102	0.0	0.0	0.047	0.046	0.133	0.0	0.054	0.107	0.167	0.154	0.137	0.062	0.158
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.194	0.201	0.018	0.0	0.212	0.115	0.0	0.0	0.02	0.0	0.0	0.05	0.029	0.0	0.0	0.0	0.044	0.043	0.143	0.0	0.114	0.072	0.166	0.09	0.029	0.0	0.1	0.078	0.138	0.0	0.07	0.089	0.03	0.102	0.0	0.0	0.047	0.046	0.133	0.0	0.054	0.107	0.167	0.154	0.137	0.062	0.158
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.194	0.201	0.018	0.0	0.212	0.115	0.0	0.0	0.02	0.0	0.0	0.05	0.029	0.0	0.0	0.0	0.044	0.043	0.143	0.0	0.114	0.072	0.166	0.09	0.029	0.0	0.1	0.078	0.138	0.0	0.07	0.089	0.03	0.102	0.0	0.0	0.047	0.046	0.133	0.0	0.054	0.107	0.167	0.154	0.137	0.062	0.158
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.032	0.051	0.0	0.097	0.0	0.071	0.0	0.007	0.0	0.025	0.0	0.031	0.077	0.067	0.159	0.0	0.043	0.06	0.03	0.039	0.038	0.0	0.0	0.017	0.097	0.0	0.02	0.075	0.057	0.0	0.074	0.108	0.053	0.04	0.049	0.0	0.056	0.053	0.042	0.0	0.035	0.031	0.029	0.095	0.017	0.019	0.0
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.041	0.071	0.02	0.0	0.179	0.148	0.064	0.043	0.113	0.044	0.055	0.168	0.02	0.0	0.0	0.138	0.052	0.011	0.012	0.054	0.044	0.033	0.0	0.0	0.111	0.0	0.133	0.021	0.076	0.0	0.037	0.02	0.089	0.032	0.0	0.122	0.031	0.075	0.009	0.0	0.066	0.012	0.017	0.0	0.009	0.077	0.079
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	0.025	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.054	0.0	0.0	0.014	0.002	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.01	0.0	0.007	0.0	0.004	0.0	0.001	0.0	0.005	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.054	0.0	0.0	0.014	0.002	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.01	0.0	0.007	0.0	0.004	0.0	0.001	0.0	0.005	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.054	0.0	0.0	0.014	0.002	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.01	0.0	0.007	0.0	0.004	0.0	0.001	0.0	0.005	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.008	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.01	0.006	0.0	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.079	0.079	0.0	0.0	0.032	0.013	0.121	0.03	0.032	0.0	0.015	0.026	0.05	0.0	0.0	0.0	0.04	0.018	0.01	0.078	0.043	0.053	0.0	0.154	0.096	0.0	0.01	0.008	0.006	0.0	0.03	0.039	0.016	0.045	0.0	0.04	0.0	0.0	0.004	0.0	0.041	0.017	0.017	0.043	0.019	0.035	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.079	0.079	0.0	0.0	0.032	0.013	0.121	0.03	0.032	0.0	0.015	0.026	0.05	0.0	0.0	0.0	0.04	0.018	0.01	0.078	0.043	0.053	0.0	0.154	0.096	0.0	0.01	0.008	0.006	0.0	0.03	0.039	0.016	0.045	0.0	0.04	0.0	0.0	0.004	0.0	0.041	0.017	0.017	0.043	0.019	0.035	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.079	0.079	0.0	0.0	0.032	0.013	0.121	0.03	0.032	0.0	0.015	0.026	0.05	0.0	0.0	0.0	0.04	0.018	0.01	0.078	0.043	0.053	0.0	0.154	0.096	0.0	0.01	0.008	0.006	0.0	0.03	0.039	0.016	0.045	0.0	0.04	0.0	0.0	0.004	0.0	0.041	0.017	0.017	0.043	0.019	0.035	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	0.079	0.079	0.0	0.0	0.032	0.013	0.121	0.03	0.032	0.0	0.015	0.026	0.05	0.0	0.0	0.0	0.04	0.018	0.01	0.078	0.043	0.053	0.0	0.154	0.096	0.0	0.01	0.008	0.006	0.0	0.03	0.039	0.016	0.045	0.0	0.04	0.0	0.0	0.004	0.0	0.041	0.017	0.017	0.043	0.019	0.035	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.436	0.413	0.0	0.0	0.139	0.073	0.0	0.0	0.0	0.0	0.0	0.132	0.137	0.098	0.319	0.113	0.086	0.163	0.156	0.089	0.293	0.257	0.534	0.203	0.045	0.0	0.08	0.154	0.098	0.0	0.0	0.07	0.051	0.179	0.0	0.0	0.14	0.038	0.084	0.15	0.127	0.088	0.137	0.048	0.084	0.183	0.113
