gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astro	CC1	CC2	CC3	Endo	L2/3 IT	L4	L5 PT	L6 CT	L6 IT	L6b	Lamp5	NP	Pvalb	Sncg	Sst	Vip
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.019	0.128	0.041	0.079	0.0	0.101	0.028	0.013	0.026	0.185	0.005	0.546	0.02	0.641	0.606	0.659	0.456
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	0.019	0.128	0.041	0.079	0.0	0.101	0.028	0.013	0.026	0.185	0.005	0.546	0.02	0.641	0.606	0.659	0.456
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.019	0.128	0.041	0.079	0.0	0.101	0.028	0.013	0.026	0.185	0.005	0.546	0.02	0.641	0.606	0.659	0.456
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.189	0.27	0.284	0.254	0.201	0.268	0.3	0.207	0.273	0.335	0.277	0.19	0.174	0.099	0.227	0.148	0.225
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.0	0.056	0.036	0.06	0.005	0.04	0.022	0.097	0.07	0.149	0.122	0.183	0.032	0.054	0.075	0.045	0.096
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.532	0.133	0.109	0.136	0.001	0.096	0.084	0.085	0.104	0.201	0.167	0.1	0.149	0.085	0.064	0.095	0.101
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.532	0.133	0.109	0.136	0.001	0.096	0.084	0.085	0.104	0.201	0.167	0.1	0.149	0.085	0.064	0.095	0.101
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.532	0.133	0.109	0.136	0.001	0.096	0.084	0.085	0.104	0.201	0.167	0.1	0.149	0.085	0.064	0.095	0.101
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	0.532	0.133	0.109	0.136	0.001	0.096	0.084	0.085	0.104	0.201	0.167	0.1	0.149	0.085	0.064	0.095	0.101
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.016	0.023	0.0	0.004	0.0	0.007	0.005	0.002	0.005	0.013	0.008	0.004	0.0	0.0	0.123	0.002	0.012
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	0.0	0.072	0.035	0.023	0.0	0.027	0.055	0.022	0.055	0.072	0.073	0.021	0.063	0.001	0.0	0.007	0.003
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.13	0.179	0.223	0.182	0.0	0.186	0.414	0.116	0.196	0.181	0.093	0.061	0.106	0.118	0.04	0.108	0.078
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.13	0.179	0.223	0.182	0.0	0.186	0.414	0.116	0.196	0.181	0.093	0.061	0.106	0.118	0.04	0.108	0.078
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.13	0.179	0.223	0.182	0.0	0.186	0.414	0.116	0.196	0.181	0.093	0.061	0.106	0.118	0.04	0.108	0.078
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.097	0.224	0.338	0.3	0.001	0.429	0.231	0.326	0.363	0.394	0.299	0.278	0.144	0.211	0.294	0.216	0.218
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.097	0.224	0.338	0.3	0.001	0.429	0.231	0.326	0.363	0.394	0.299	0.278	0.144	0.211	0.294	0.216	0.218
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.097	0.224	0.338	0.3	0.001	0.429	0.231	0.326	0.363	0.394	0.299	0.278	0.144	0.211	0.294	0.216	0.218
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0F3C5EBCC	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0067AC6C9	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0253C0919	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC034FE836A	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC079435E2F	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC05C1C7836	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137
