Gene stable ID,Human gene name,Gene name,Human gene stable ID
ENSMUSG00000064336,,mt-Tf,
ENSMUSG00000064337,,mt-Rnr1,
ENSMUSG00000064338,,mt-Tv,
ENSMUSG00000064339,,mt-Rnr2,
ENSMUSG00000064340,,mt-Tl1,
ENSMUSG00000064341,MT-ND1,mt-Nd1,ENSG00000198888
ENSMUSG00000064342,,mt-Ti,
ENSMUSG00000064343,,mt-Tq,
ENSMUSG00000064344,,mt-Tm,
ENSMUSG00000064345,MT-ND2,mt-Nd2,ENSG00000198763
ENSMUSG00000064346,,mt-Tw,
ENSMUSG00000064347,,mt-Ta,
ENSMUSG00000064348,,mt-Tn,
ENSMUSG00000064349,,mt-Tc,
ENSMUSG00000064350,,mt-Ty,
ENSMUSG00000064351,MT-CO1,mt-Co1,ENSG00000198804
ENSMUSG00000064352,,mt-Ts1,
ENSMUSG00000064353,,mt-Td,
ENSMUSG00000064354,MT-CO2,mt-Co2,ENSG00000198712
ENSMUSG00000064355,,mt-Tk,
ENSMUSG00000064356,MT-ATP8,mt-Atp8,ENSG00000228253
ENSMUSG00000064357,MT-ATP6,mt-Atp6,ENSG00000198899
ENSMUSG00000064358,MT-CO3,mt-Co3,ENSG00000198938
ENSMUSG00000064359,,mt-Tg,
ENSMUSG00000064360,MT-ND3,mt-Nd3,ENSG00000198840
ENSMUSG00000064361,,mt-Tr,
ENSMUSG00000065947,MT-ND4L,mt-Nd4l,ENSG00000212907
ENSMUSG00000064363,MT-ND4,mt-Nd4,ENSG00000198886
ENSMUSG00000064364,,mt-Th,
ENSMUSG00000064365,,mt-Ts2,
ENSMUSG00000064366,,mt-Tl2,
ENSMUSG00000064367,MT-ND5,mt-Nd5,ENSG00000198786
ENSMUSG00000064368,MT-ND6,mt-Nd6,ENSG00000198695
ENSMUSG00000064369,,mt-Te,
ENSMUSG00000064370,MT-CYB,mt-Cytb,ENSG00000198727
ENSMUSG00000064371,,mt-Tt,
ENSMUSG00000064372,,mt-Tp,
ENSMUSG00002074970,,,
ENSMUSG00002075400,,,
ENSMUSG00002076890,,,
ENSMUSG00000095019,,,
ENSMUSG00000094915,SP100,,ENSG00000067066
ENSMUSG00000095041,,,
ENSMUSG00000095666,PRAMEF25,,ENSG00000229571
ENSMUSG00000095666,PRAMEF4,,ENSG00000243073
ENSMUSG00000095666,PRAMEF6,,ENSG00000232423
ENSMUSG00000095666,PRAMEF12,,ENSG00000116726
ENSMUSG00000095666,PRAMEF26,,ENSG00000280267
ENSMUSG00000095666,PRAMEF5,,ENSG00000270601
