gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	#B16BA8	#F39426	B cells Memory	B cells Naive	CAFs MSC iCAF-like	CAFs myCAF-like	Cancer Basal SC	Cycling T-cells	Cycling_Myeloid	DCs	Endothelial ACKR1	Endothelial CXCL12	Endothelial RGS5	Luminal Progenitors	Macrophage	Mature Luminal	Monocyte	Myoepithelial	NK cells	NKT cells	PVL Differentiated	PVL Immature	Plasmablasts	T cells CD4+	T cells CD8+
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.0	0.0	0.0	0.0	0.051	0.059	0.0	0.158	0.048	0.077	0.049	0.048	0.134	0.025	0.128	0.005	0.115	0.175	0.134	0.0	0.0	0.084	0.015	0.1	0.094
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	0.0	0.0	0.0	0.0	0.051	0.059	0.0	0.158	0.048	0.077	0.049	0.048	0.134	0.025	0.128	0.005	0.115	0.175	0.134	0.0	0.0	0.084	0.015	0.1	0.094
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.0	0.0	0.0	0.0	0.051	0.059	0.0	0.158	0.048	0.077	0.049	0.048	0.134	0.025	0.128	0.005	0.115	0.175	0.134	0.0	0.0	0.084	0.015	0.1	0.094
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.035	0.061	0.0	0.0	0.19	0.145	0.026	0.08	0.031	0.013	0.011	0.193	0.0	0.061	0.069	0.123	0.067	0.038	0.023	0.173	0.116	0.128	0.008	0.03	0.056
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.035	0.061	0.0	0.0	0.19	0.145	0.026	0.08	0.031	0.013	0.011	0.193	0.0	0.061	0.069	0.123	0.067	0.038	0.023	0.173	0.116	0.128	0.008	0.03	0.056
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.035	0.061	0.0	0.0	0.19	0.145	0.026	0.08	0.031	0.013	0.011	0.193	0.0	0.061	0.069	0.123	0.067	0.038	0.023	0.173	0.116	0.128	0.008	0.03	0.056
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	0.269	0.211	0.182	0.0	0.076	0.135	0.229	0.127	0.247	0.173	0.107	0.138	0.294	0.105	0.263	0.214	0.243	0.09	0.018	0.0	0.079	0.102	0.036	0.03	0.04
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	0.435	0.496	0.0	0.0	0.047	0.051	0.349	0.084	0.134	0.245	0.042	0.0	0.038	0.062	0.072	0.042	0.056	0.176	0.08	0.203	0.139	0.042	0.087	0.089	0.035
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	0.002	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	0.002	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	0.002	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0
